Firmware constant,GPIO,Component,Pad,Net
RFID_SS,5,J1,1,RFID_CS_GPIO5
RFID_RST,27,J1,7,RFID_RST_GPIO27
SD_CS,33,J2,6,SD_CS_GPIO33
SD_SCK,14,J2,5,SD_SCK_GPIO14
SD_MISO,25,J2,3,SD_MISO_GPIO25
SD_MOSI,26,J2,4,SD_MOSI_GPIO26
LCD_SDA,21,Q1,1,SDA_3V3_GPIO21
LCD_SCL,22,Q2,1,SCL_3V3_GPIO22
LED_READY,4,R1,1,LED_READY_GPIO4
LED_SUCCESS,16,R2,1,LED_OK_GPIO16
LED_ERROR,17,R3,1,LED_ERROR_GPIO17
LED_INTERNET,13,R4,1,LED_NET_GPIO13
BUZZER_PIN,32,R9,1,BUZZER_GPIO32
VSPI default,18,J1,2,RFID_SCK_GPIO18
VSPI default,23,J1,3,RFID_MOSI_GPIO23
VSPI default,19,J1,4,RFID_MISO_GPIO19
